T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
780	0.419664	0.489808	0.420264	0.438849	0.426659	0.430755	0.453437	0.459233	0.420264	0.436251	
790	0.420164	0.477818	0.420264	0.440148	0.423161	0.435751	0.451039	0.459233	0.429756	0.435552	
800	0.420663	0.491507	0.422562	0.438649	0.422462	0.433653	0.454237	0.460532	0.426958	0.444444	
810	0.421563	0.481415	0.424960	0.445244	0.424860	0.430256	0.452738	0.457434	0.429157	0.430456	
820	0.422162	0.481315	0.423561	0.430156	0.422562	0.431555	0.457434	0.454436	0.426559	0.430955	
830	0.423961	0.474920	0.419464	0.433853	0.422162	0.429057	0.456635	0.462930	0.423961	0.439848	
840	0.424161	0.478118	0.420564	0.429257	0.423661	0.435352	0.459333	0.461930	0.425560	0.440148	
850	0.422362	0.472222	0.421063	0.436451	0.423062	0.432654	0.454736	0.456735	0.427658	0.435252	
860	0.416867	0.481615	0.418265	0.432654	0.421663	0.427258	0.456135	0.460931	0.420464	0.446143	
870	0.415867	0.481615	0.415468	0.442846	0.427858	0.426958	0.456835	0.461631	0.428257	0.438949	
880	0.420763	0.479716	0.425959	0.429656	0.425959	0.426359	0.457734	0.462330	0.425060	0.445843	
890	0.419265	0.488010	0.422662	0.440548	0.429357	0.431954	0.456335	0.458133	0.422462	0.440647	
900	0.421363	0.482214	0.416767	0.440747	0.429956	0.427558	0.455336	0.460032	0.421063	0.443745	
910	0.422062	0.478317	0.419564	0.434053	0.434652	0.430156	0.452238	0.461331	0.421663	0.441547	
920	0.425959	0.483413	0.422862	0.435851	0.428257	0.428957	0.456235	0.460831	0.420364	0.448441	
930	0.419564	0.488509	0.415268	0.433153	0.429556	0.438349	0.459632	0.452438	0.422562	0.438949	
940	0.425859	0.486511	0.419764	0.434652	0.427158	0.432554	0.455835	0.459133	0.422562	0.438549	
950	0.422762	0.484313	0.418165	0.431455	0.428257	0.422962	0.460232	0.459532	0.415667	0.436051	
960	0.418465	0.479117	0.419864	0.434452	0.437350	0.426859	0.451839	0.459333	0.422062	0.435751	
970	0.429656	0.481015	0.414468	0.435052	0.442046	0.428857	0.455236	0.460132	0.420264	0.438549	
980	0.422762	0.469524	0.419265	0.436451	0.442246	0.424660	0.453038	0.462130	0.422562	0.439448	
990	0.421763	0.470923	0.420064	0.438849	0.435751	0.422662	0.454636	0.464329	0.418165	0.443445	
1000	0.424660	0.480216	0.421263	0.439149	0.443645	0.428058	0.458133	0.459632	0.419564	0.438749	
1010	0.421863	0.483613	0.421463	0.442946	0.442746	0.429956	0.450440	0.459832	0.418865	0.442646	
1020	0.426259	0.486611	0.423861	0.425560	0.445544	0.431755	0.459033	0.462130	0.425360	0.434452	
1030	0.425659	0.483313	0.423761	0.430855	0.453038	0.429656	0.449440	0.460332	0.419664	0.440348	
1040	0.421363	0.482714	0.420863	0.429057	0.449940	0.430356	0.444744	0.457934	0.424960	0.440448	
1050	0.424660	0.485811	0.420064	0.432754	0.450739	0.434552	0.452338	0.463030	0.421163	0.440647	
1060	0.423761	0.484812	0.419864	0.434852	0.452738	0.434452	0.455536	0.457634	0.421863	0.442946	
1070	0.423361	0.484313	0.418265	0.434752	0.453637	0.431655	0.454836	0.458933	0.417766	0.439149	
1080	0.429556	0.490008	0.418665	0.434452	0.448241	0.433553	0.457734	0.459233	0.421763	0.445544	
1090	0.424960	0.487710	0.418665	0.432554	0.447942	0.433653	0.453237	0.455336	0.418865	0.440548	
1100	0.423361	0.486011	0.418565	0.429656	0.448841	0.434153	0.456035	0.458533	0.424760	0.435052	
1110	0.428257	0.484812	0.416267	0.428657	0.444145	0.436151	0.449840	0.462730	0.419964	0.441847	
1120	0.427158	0.484512	0.422262	0.432054	0.448441	0.428957	0.452838	0.461331	0.425060	0.436751	
1130	0.427658	0.485212	0.421163	0.432254	0.452738	0.426459	0.454436	0.463129	0.424560	0.441946	
1140	0.430356	0.487110	0.423861	0.434652	0.445643	0.428457	0.451539	0.460132	0.416867	0.436551	
1150	0.430156	0.493905	0.415867	0.432754	0.453038	0.438349	0.449740	0.464129	0.422662	0.440747	
1160	0.424460	0.496703	0.421962	0.433453	0.460332	0.431655	0.453737	0.457234	0.419864	0.437650	
1170	0.427758	0.487210	0.420663	0.435951	0.459133	0.431255	0.458533	0.462530	0.418665	0.438649	
1180	0.428557	0.487410	0.421763	0.434652	0.452638	0.434752	0.452538	0.462430	0.418565	0.438649	
1190	0.432954	0.489309	0.421763	0.434952	0.452038	0.440747	0.458633	0.466027	0.420663	0.436851	
1200	0.427958	0.491707	0.422762	0.431954	0.457134	0.435851	0.452038	0.470723	0.420663	0.435052	
1210	0.429856	0.486611	0.422562	0.437250	0.452238	0.430256	0.455336	0.471123	0.421663	0.438949	
1220	0.424960	0.477818	0.422162	0.437650	0.456335	0.428157	0.454137	0.463229	0.424860	0.433853	
1230	0.428457	0.478617	0.413169	0.433753	0.456035	0.432054	0.456335	0.465128	0.419764	0.444444	
1240	0.430356	0.476119	0.424660	0.428857	0.462230	0.437750	0.457034	0.466227	0.424361	0.437750	
1250	0.429057	0.483813	0.424161	0.436351	0.460232	0.431954	0.452238	0.465727	0.423861	0.440348	
1260	0.430556	0.480715	0.420564	0.437450	0.460232	0.433653	0.458633	0.463629	0.425560	0.439049	
1270	0.433653	0.478617	0.425460	0.432154	0.455735	0.431555	0.457934	0.461031	0.423161	0.441447	
1280	0.429656	0.482514	0.421063	0.440148	0.460032	0.434752	0.454436	0.463129	0.425859	0.443645	
1290	0.434153	0.487810	0.419964	0.431855	0.454037	0.430556	0.459832	0.470324	0.425160	0.438449	
1300	0.438649	0.475220	0.426259	0.436151	0.452638	0.427458	0.462130	0.471823	0.420763	0.442146	
1310	0.438050	0.487210	0.423361	0.429756	0.454237	0.433054	0.455735	0.468325	0.416467	0.438449	
1320	0.438649	0.486411	0.421163	0.431555	0.457934	0.430855	0.453437	0.477018	0.427058	0.437250	
1330	0.436151	0.485711	0.417566	0.432954	0.455236	0.431555	0.456035	0.482614	0.424161	0.441147	
1340	0.440048	0.483513	0.423261	0.437950	0.458133	0.431855	0.457534	0.478717	0.421263	0.439249	
1350	0.436451	0.478317	0.415268	0.434452	0.452938	0.438249	0.452538	0.467126	0.423961	0.436151	
1360	0.439249	0.484912	0.418665	0.432254	0.447642	0.433253	0.454237	0.467526	0.421163	0.436051	
1370	0.439848	0.481815	0.420264	0.433653	0.455036	0.437550	0.461231	0.462630	0.420763	0.438050	
1380	0.432854	0.477718	0.418066	0.437950	0.453537	0.438649	0.455136	0.464828	0.421763	0.437150	
1390	0.434353	0.484712	0.422162	0.437150	0.451539	0.435651	0.451539	0.464428	0.418265	0.437450	
1400	0.430955	0.477518	0.421663	0.435552	0.455735	0.429456	0.457734	0.462830	0.424560	0.438849	
1410	0.437950	0.486910	0.419165	0.436351	0.458633	0.430855	0.457534	0.460532	0.425759	0.442946	
1420	0.440647	0.487510	0.423561	0.428957	0.458833	0.438549	0.458133	0.460931	0.422162	0.442146	
1430	0.429556	0.486211	0.420464	0.436950	0.459432	0.436651	0.456035	0.461531	0.419764	0.437750	
1440	0.430655	0.498701	0.421863	0.435152	0.458333	0.432954	0.457334	0.455835	0.426259	0.445843	
1450	0.439149	0.492806	0.412670	0.434952	0.459333	0.430456	0.452238	0.459932	0.424261	0.440847	
1460	0.434952	0.491007	0.415967	0.439648	0.458633	0.433853	0.452638	0.462930	0.425460	0.442146	
1470	0.429357	0.493705	0.418265	0.426059	0.451839	0.430056	0.447742	0.464928	0.427258	0.437650	
1480	0.431954	0.490108	0.421563	0.434652	0.458833	0.430056	0.451039	0.460831	0.425959	0.436751	
1490	0.433753	0.493605	0.414968	0.430955	0.464828	0.438149	0.454137	0.459333	0.422062	0.441347	
1500	0.434852	0.489209	0.420763	0.439948	0.463429	0.430655	0.452938	0.465627	0.422662	0.442046	
1510	0.432754	0.483313	0.412970	0.442146	0.460132	0.429656	0.455635	0.458233	0.427458	0.436251	
