T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
1340	0.121397	0.100531	0.126123	0.092244	0.161012	0.093196	0.108266	0.142698	0.130190	0.086660	
1350	0.121326	0.107690	0.127933	0.090422	0.162059	0.094830	0.105868	0.142909	0.125453	0.086601	
1360	0.120668	0.106656	0.127992	0.088741	0.157533	0.092608	0.104846	0.144672	0.124195	0.087001	
1370	0.122631	0.112181	0.126663	0.089329	0.160413	0.092326	0.104223	0.144108	0.125582	0.087518	
1380	0.124559	0.112569	0.125535	0.088341	0.165644	0.092009	0.105856	0.142803	0.126193	0.089693	
1390	0.123337	0.113944	0.127122	0.088435	0.162035	0.093937	0.104469	0.145683	0.125018	0.086778	
1400	0.124700	0.105433	0.126193	0.089035	0.159496	0.093443	0.104810	0.145201	0.124348	0.086648	
1410	0.122349	0.109689	0.126240	0.089846	0.160707	0.091644	0.106903	0.147000	0.125323	0.087847	
1420	0.122161	0.096346	0.125511	0.092032	0.165644	0.092350	0.106397	0.147541	0.123278	0.089799	
1430	0.124136	0.105563	0.127463	0.091127	0.169547	0.093490	0.102154	0.145143	0.127627	0.085485	
1440	0.125029	0.105433	0.123583	0.091903	0.169065	0.092173	0.106585	0.143274	0.127286	0.086637	
1450	0.123807	0.101566	0.122878	0.089728	0.167654	0.095053	0.108454	0.146342	0.127239	0.087107	
1460	0.124818	0.110100	0.126052	0.092032	0.167607	0.094865	0.104634	0.147000	0.127745	0.085814	
1470	0.127192	0.115120	0.125664	0.090469	0.167278	0.094830	0.107784	0.149821	0.127651	0.087589	
1480	0.132365	0.114109	0.124888	0.090528	0.172309	0.093513	0.105657	0.154947	0.132376	0.087130	
1490	0.123783	0.101554	0.124524	0.093349	0.167842	0.094630	0.103811	0.142651	0.129508	0.085379	
1500	0.123489	0.108184	0.127745	0.094477	0.169288	0.092397	0.103023	0.137466	0.128721	0.086731	
1510	0.124030	0.116906	0.128380	0.093278	0.166772	0.094548	0.103835	0.137455	0.131648	0.086860	
1520	0.121797	0.132482	0.126181	0.093325	0.168218	0.093913	0.102377	0.135456	0.129532	0.088823	
1530	0.120504	0.174978	0.126005	0.090422	0.163434	0.094383	0.104199	0.134963	0.131095	0.095100	
1540	0.122796	0.201509	0.128685	0.091503	0.163975	0.093372	0.103835	0.133141	0.130084	0.100320	
1550	0.122843	0.207328	0.126052	0.091609	0.160342	0.093384	0.103905	0.132612	0.128779	0.098439	
1560	0.120892	0.210373	0.126569	0.091832	0.163669	0.094677	0.105210	0.135068	0.130131	0.102201	
1570	0.121080	0.183547	0.124794	0.092514	0.160119	0.091492	0.104610	0.136573	0.128109	0.098427	
1580	0.122314	0.201263	0.125688	0.090351	0.162576	0.091303	0.106374	0.134234	0.129967	0.103329	
1590	0.119881	0.179421	0.125217	0.095288	0.162070	0.094313	0.101907	0.139771	0.132553	0.099191	
1600	0.121550	0.162776	0.125899	0.092056	0.157333	0.095053	0.103940	0.140064	0.129496	0.100379	
1610	0.123442	0.143050	0.122667	0.093560	0.157697	0.096217	0.106421	0.143050	0.132094	0.095900	
1620	0.121197	0.121373	0.126205	0.093854	0.160930	0.096711	0.100308	0.140088	0.132235	0.093960	
1630	0.119834	0.123219	0.125652	0.092549	0.160095	0.093302	0.099426	0.135374	0.130284	0.099603	
1640	0.118940	0.136973	0.126957	0.096899	0.156334	0.094642	0.097428	0.135856	0.127792	0.094407	
1650	0.117012	0.114943	0.126029	0.094407	0.157521	0.093478	0.096899	0.131847	0.126228	0.097663	
1660	0.117471	0.109689	0.124606	0.092103	0.154359	0.094513	0.096123	0.136573	0.126170	0.096029	
1670	0.122067	0.112251	0.127404	0.091115	0.155911	0.100943	0.095347	0.138654	0.128627	0.096311	
1680	0.118023	0.099403	0.128532	0.088165	0.155852	0.099579	0.094407	0.141240	0.129837	0.101201	
1690	0.119105	0.087730	0.125041	0.089434	0.159849	0.104281	0.096640	0.140664	0.128744	0.100884	
1700	0.117812	0.095277	0.127169	0.089446	0.158932	0.098698	0.095853	0.146283	0.126746	0.107890	
1710	0.115566	0.087718	0.127827	0.092914	0.159202	0.106186	0.096382	0.145190	0.126369	0.107138	
1720	0.114579	0.083192	0.126217	0.091292	0.154841	0.100026	0.094348	0.144414	0.126887	0.102295	
1730	0.116707	0.076033	0.128568	0.093455	0.155405	0.097216	0.095488	0.139488	0.127169	0.103176	
1740	0.119751	0.085191	0.127533	0.090739	0.155770	0.096194	0.097781	0.140829	0.126452	0.099779	
1750	0.117306	0.090445	0.126052	0.091762	0.158285	0.095006	0.097369	0.142463	0.126428	0.101601	
1760	0.113744	0.095124	0.126029	0.088905	0.158908	0.095817	0.100179	0.141828	0.126910	0.103494	
1770	0.114814	0.113744	0.126005	0.089517	0.154253	0.095817	0.095994	0.143509	0.127357	0.099697	
1780	0.111628	0.135057	0.125935	0.090445	0.157333	0.093784	0.093831	0.139888	0.126487	0.094560	
1790	0.111088	0.149998	0.124477	0.092926	0.152419	0.094889	0.094924	0.137090	0.129073	0.094583	
1800	0.108396	0.133905	0.122185	0.090563	0.157474	0.094854	0.094172	0.135492	0.130613	0.090598	
1810	0.106350	0.143591	0.126099	0.089634	0.156251	0.096288	0.088470	0.129661	0.132917	0.093760	
1820	0.107549	0.124912	0.122478	0.091221	0.157204	0.096922	0.086872	0.134375	0.129614	0.092220	
1830	0.101507	0.145801	0.124289	0.089211	0.156581	0.100672	0.094607	0.133575	0.128262	0.090234	
1840	0.102412	0.133387	0.122420	0.088588	0.159120	0.098627	0.089164	0.135927	0.128850	0.090046	
