T	s_1	s_2	s_3	s_4	s_5	s_6	s_7	s_8	s_9	s_10
1090	0.126605	0.079201	0.126441	0.089731	0.155523	0.098195	0.097359	0.148909	0.122035	0.088098
1100	0.126022	0.075501	0.12637	0.09048	0.154759	0.098559	0.095319	0.148609	0.119945	0.087922
1110	0.124937	0.073855	0.126576	0.093368	0.153469	0.09718	0.095869	0.147366	0.116323	0.087219
1120	0.124848	0.075007	0.12571	0.09035	0.154969	0.097525	0.09664	0.147421	0.11804	0.086412
1130	0.125632	0.072804	0.126182	0.09164	0.152569	0.097821	0.094071	0.147433	0.120305	0.087613
1140	0.125618	0.071872	0.12599	0.091106	0.152854	0.094884	0.09819	0.146192	0.116864	0.089296
1150	0.124736	0.070948	0.124245	0.090759	0.155899	0.093843	0.101884	0.143173	0.11728	0.089597
1160	0.124788	0.069054	0.124201	0.09095	0.157547	0.095507	0.104873	0.142165	0.115769	0.095693
1170	0.121943	0.075555	0.124302	0.08884	0.160728	0.095062	0.106223	0.140129	0.117796	0.0977
1180	0.12274	0.074899	0.124406	0.089778	0.152963	0.093954	0.101033	0.140018	0.120372	0.102649
1190	0.122513	0.071165	0.126812	0.089778	0.154421	0.094441	0.103896	0.133198	0.118536	0.102213
1200	0.121951	0.0777	0.125471	0.089765	0.157868	0.094506	0.09877	0.133364	0.120067	0.104751
1210	0.12351	0.08337	0.125254	0.089831	0.163267	0.094282	0.102137	0.133772	0.120482	0.101521
1220	0.123982	0.083934	0.12513	0.089227	0.160557	0.093929	0.099861	0.132403	0.122948	0.097314
1230	0.124174	0.085378	0.123943	0.089565	0.160299	0.093664	0.098777	0.134482	0.124757	0.092198
1240	0.12333	0.085802	0.126132	0.088718	0.158799	0.094234	0.099407	0.1377	0.124076	0.096131
1250	0.121475	0.089663	0.127252	0.089819	0.156987	0.092957	0.105288	0.134473	0.128476	0.095888
1260	0.12276	0.094583	0.126552	0.089517	0.158174	0.091917	0.104312	0.14032	0.126055	0.093728
1270	0.12276	0.091601	0.125004	0.089778	0.155456	0.091767	0.104446	0.141787	0.125521	0.089539
1280	0.124817	0.089604	0.125001	0.089778	0.159997	0.09306	0.106372	0.141034	0.129117	0.088223
1290	0.121903	0.088114	0.125227	0.089746	0.160797	0.092114	0.105706	0.139978	0.126795	0.087951
1300	0.122203	0.093849	0.126045	0.089594	0.161129	0.092022	0.10567	0.143723	0.123657	0.087424
1310	0.123189	0.101083	0.126422	0.090573	0.159494	0.093729	0.104765	0.142811	0.120243	0.087871
1320	0.122236	0.087582	0.126052	0.090412	0.160305	0.094175	0.104881	0.143639	0.123631	0.087307
1330	0.121899	0.09556	0.126187	0.091422	0.160647	0.093376	0.106952	0.14381	0.127492	0.087115
1340	0.121942	0.104053	0.126141	0.089957	0.158095	0.092739	0.106651	0.143078	0.130299	0.086074
1350	0.12191	0.109539	0.127233	0.089879	0.15994	0.093157	0.107449	0.142048	0.126011	0.086586
1360	0.120951	0.105257	0.126949	0.089254	0.159848	0.093114	0.105608	0.143767	0.12396	0.087114
1370	0.121652	0.106751	0.126921	0.08965	0.160868	0.092886	0.103238	0.143945	0.125322	0.087835
1380	0.124785	0.119343	0.126717	0.089778	0.166195	0.09296	0.102885	0.144581	0.126144	0.088395
1390	0.124459	0.114851	0.126956	0.089778	0.162879	0.093367	0.103911	0.146324	0.127821	0.087457
1400	0.122218	0.104512	0.125843	0.089238	0.160954	0.092706	0.107769	0.144361	0.125384	0.086669
1410	0.122276	0.112071	0.125516	0.090327	0.162841	0.092859	0.107053	0.148165	0.124374	0.087841
1420	0.122342	0.100576	0.126083	0.091012	0.167234	0.092983	0.107014	0.147431	0.122812	0.087821
1430	0.124286	0.106892	0.126095	0.091012	0.171034	0.093411	0.106363	0.146294	0.126001	0.086762
1440	0.123725	0.109073	0.125884	0.093237	0.168567	0.093625	0.106736	0.144166	0.128077	0.088257
1450	0.124969	0.093831	0.123437	0.091276	0.168332	0.093709	0.107172	0.14646	0.128573	0.087076
1460	0.128744	0.105756	0.125057	0.09137	0.167532	0.094467	0.106825	0.147204	0.128805	0.087664
1470	0.126325	0.111097	0.12436	0.090742	0.170732	0.09544	0.107042	0.150685	0.128954	0.087559
1480	0.131693	0.110556	0.124196	0.091916	0.17002	0.093575	0.104659	0.154046	0.129658	0.086043
1490	0.123874	0.108629	0.125798	0.0925	0.169178	0.093056	0.103754	0.142927	0.129178	0.085515
1500	0.122653	0.105433	0.125872	0.095348	0.166185	0.093765	0.102409	0.138651	0.129906	0.086686
1510	0.121594	0.125712	0.127444	0.091585	0.168816	0.093467	0.102837	0.136217	0.129973	0.087011
1520	0.119918	0.139988	0.126306	0.091949	0.166422	0.093316	0.101918	0.135864	0.13004	0.089405
1530	0.120807	0.175139	0.125939	0.089877	0.166364	0.094329	0.104852	0.135336	0.130222	0.09517
1540	0.122526	0.205738	0.125953	0.089934	0.16207	0.093669	0.103638	0.133168	0.130261	0.10214
1550	0.123961	0.224676	0.126069	0.09064	0.158637	0.093448	0.104493	0.13214	0.129568	0.100754
1560	0.12189	0.214853	0.125999	0.090031	0.162039	0.092753	0.104454	0.133146	0.130612	0.10213
1570	0.122441	0.1864	0.125796	0.091539	0.158274	0.093002	0.104236	0.137511	0.128684	0.099319
1580	0.122223	0.194125	0.125934	0.091779	0.161741	0.092781	0.1048	0.136388	0.131135	0.102103
1590	0.120765	0.171264	0.125534	0.093017	0.160357	0.093034	0.104123	0.139939	0.130765	0.102521
1600	0.12113	0.160415	0.126098	0.093979	0.157094	0.09619	0.105364	0.141798	0.129769	0.101822
1610	0.121891	0.134467	0.125973	0.093561	0.156789	0.09657	0.105487	0.141334	0.130853	0.097582
1620	0.120412	0.123243	0.126069	0.092854	0.15889	0.097224	0.101164	0.139654	0.131159	0.093601
1630	0.118994	0.130821	0.12607	0.094274	0.158617	0.093946	0.099586	0.132384	0.131525	0.098343
1640	0.119703	0.131231	0.126429	0.098405	0.157335	0.094638	0.09622	0.134725	0.128306	0.097647
1650	0.118089	0.110814	0.125642	0.092241	0.15664	0.094553	0.096601	0.133948	0.126994	0.098022
1660	0.119953	0.104449	0.126471	0.091837	0.15601	0.094982	0.097387	0.138049	0.128152	0.094938
1670	0.120121	0.117745	0.126894	0.09015	0.156005	0.099271	0.095536	0.139964	0.130049	0.099656
