essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.868421,8,0.973662,0.040328,0.3576805,0.0321455,0.3808065,0.0265875,0.9736565,0.048385,0.023963,0.0263095,0.0243215,0.009558,0.005193,0.0105555,0.0239815,0.0284455
0.894737,8,0.9053435,0.0520365,0.468268,0.037081,0.473394,0.0444855,0.9053295,0.0702845,0.0755425,0.028978,0.047466,0.014356,0.023685,0.018665,0.075567,0.0370245
0.921053,8,0.9729105,0.035532,0.496817,0.029769,0.496338,0.022743,0.97292,0.0446285,0.020353,0.017175,0.0258575,0.010901,0.0035015,0.0080885,0.0203615,0.0195205
0.947368,8,0.986416,0.0254305,0.495804,0.0290925,0.4991225,0.01672,0.9864115,0.0321915,0.011618,0.0126075,0.033534,0.0110575,0.002012,0.0058385,0.011629,0.0148555
0.973684,8,0.989024,0.023969,0.4888565,0.0267175,0.4991835,0.015271,0.989024,0.029884,0.0090885,0.0122415,0.0280705,0.0078155,0.0015175,0.0053305,0.0091025,0.0138145
1,8,0.9882615,0.022886,0.4905815,0.02682,0.499694,0.0149345,0.988256,0.029741,0.007913,0.0101235,0.033117,0.010876,0.001323,0.004413,0.007934,0.011396
0.5,10,0.001041,0.007156,0.002661,0.011201,0.005071,0.027638,0.00104,0.008189,0.001064,0.00485,0.00228,0.006318,0.003518,0.010055,0.00107,0.005359
0.526316,10,0.001541,0.008975,0.006214,0.015604,0.009786,0.037575,0.00154,0.010247,0.00143,0.00573,0.005594,0.007869,0.006125,0.012332,0.001441,0.006269
0.552632,10,0.008177,0.012761,0.026496,0.022887,0.048018,0.073109,0.008183,0.017106,0.008993,0.007463,0.022286,0.01057,0.020158,0.014211,0.009008,0.010265
0.578947,10,0.02185,0.013503,0.043548,0.019898,0.100887,0.096613,0.021847,0.023186,0.020134,0.008616,0.043729,0.010094,0.014727,0.006398,0.020143,0.014081
0.605263,10,0.07636,0.024195,0.002639,0.010044,0.163602,0.105994,0.076352,0.047405,0.013933,0.015036,0.005162,0.007923,0.014964,0.003539,0.013986,0.01106
0.631579,10,0.665313,0.046582,0.088959,0.02024,0.205699,0.058277,0.665302,0.061343,0.398088,0.029621,0.078025,0.013325,0.008778,0.040429,0.398095,0.03225
0.657895,10,0.765974,0.0634,0.114392,0.025044,0.22438,0.054167,0.765978,0.08516,0.204483,0.030211,0.060994,0.013793,0.016932,0.024577,0.20448,0.026679
0.684211,10,0.791854,0.039454,0.216821,0.02833,0.287955,0.047359,0.791866,0.056194,0.286002,0.025509,0.059923,0.010934,0.014609,0.032785,0.286005,0.032836
0.710526,10,0.909617,0.044408,0.246007,0.024545,0.298196,0.031552,0.90961,0.057111,0.106201,0.027081,0.044534,0.011793,0.007451,0.016765,0.106201,0.031966
0.736842,10,0.95428,0.044152,0.272884,0.026514,0.306331,0.028222,0.954266,0.052546,0.039991,0.024172,0.016861,0.011367,0.005902,0.009185,0.040013,0.025553
0.763158,10,0.823962,0.061532,0.281747,0.029352,0.334044,0.050006,0.823967,0.08311,0.089578,0.026741,0.01923,0.009701,0.015712,0.007833,0.089587,0.02364
0.789474,10,0.927539,0.042514,0.356823,0.029525,0.390479,0.030821,0.927515,0.054012,0.085679,0.025298,0.027142,0.010872,0.012186,0.014307,0.085718,0.02904
0.815789,10,0.971161,0.038449,0.372332,0.02613,0.39898,0.019471,0.971163,0.044323,0.027071,0.022357,0.020843,0.009774,0.002668,0.006755,0.027058,0.024178
0.842105,10,0.971118,0.030483,0.395202,0.023155,0.401523,0.020066,0.971126,0.037712,0.030114,0.016153,0.02577,0.009167,0.002993,0.007345,0.030107,0.018511
0.868421,10,0.958197,0.042658,0.38838,0.022101,0.40423,0.022659,0.958199,0.050009,0.045992,0.022401,0.021093,0.00994,0.00629,0.009737,0.045965,0.024881
0.894737,10,0.90523,0.056764,0.399666,0.029125,0.415072,0.033872,0.905216,0.067514,0.119956,0.037006,0.026307,0.012933,0.017021,0.015508,0.119983,0.040061
0.921053,10,0.844229,0.062261,0.471027,0.028218,0.478536,0.041759,0.844222,0.080273,0.110423,0.035391,0.021361,0.010356,0.013062,0.012632,0.11043,0.035947
0.947368,10,0.963368,0.039548,0.485794,0.020142,0.495974,0.022023,0.963363,0.047373,0.028574,0.020943,0.015776,0.007119,0.003921,0.008,0.028579,0.022247
0.973684,10,0.979314,0.030915,0.494431,0.022597,0.498769,0.017123,0.979311,0.036699,0.014646,0.015842,0.027758,0.009989,0.002512,0.005943,0.014658,0.016548
1,10,0.982895,0.024403,0.507534,0.020402,0.500323,0.015877,0.98289,0.030219,0.014912,0.01404,0.031885,0.008359,0.002355,0.005747,0.014923,0.015174
0.5,12,0.000886,0.006776,0.002756,0.011107,0.005045,0.026594,0.000886,0.007404,0.000879,0.005014,0.002822,0.007099,0.003757,0.011075,0.000886,0.005334
0.526316,12,0.002029,0.008063,0.005484,0.014042,0.011614,0.037171,0.002029,0.009418,0.002213,0.005347,0.00646,0.008425,0.009133,0.013397,0.002217,0.005853
0.552632,12,0.006226,0.008603,0.047926,0.024856,0.068376,0.078621,0.006225,0.011666,0.008193,0.005925,0.031233,0.012271,0.016443,0.008811,0.008196,0.00812
0.578947,12,0.026857,0.013518,0.032527,0.016383,0.110938,0.090896,0.026851,0.022752,0.018851,0.010534,0.048952,0.011508,0.015087,0.005952,0.018856,0.013522
