T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
1180	0.900867	0.973733	0.970467	0.984867	0.952333	0.993200	0.764267	0.899133	0.865000	0.982667	
1190	0.911067	0.977867	0.972067	0.984600	0.957133	0.994667	0.772733	0.913933	0.880400	0.982733	
1200	0.912733	0.980067	0.976600	0.982200	0.952933	0.993867	0.779667	0.917867	0.880267	0.984000	
1210	0.919133	0.976400	0.978400	0.980800	0.956933	0.994867	0.802933	0.922000	0.889333	0.982000	
1220	0.919000	0.977133	0.979200	0.983600	0.958867	0.992133	0.806867	0.931067	0.898067	0.983933	
1230	0.921400	0.977133	0.981867	0.984133	0.960333	0.994067	0.818867	0.940467	0.904133	0.982867	
1240	0.918600	0.976600	0.982733	0.984000	0.961067	0.993800	0.813667	0.937667	0.907267	0.981867	
1250	0.926333	0.976200	0.984133	0.986733	0.963533	0.992467	0.827800	0.936667	0.916067	0.982600	
1260	0.922867	0.974933	0.985333	0.986667	0.966067	0.991133	0.835667	0.943867	0.921133	0.983333	
1270	0.926533	0.977533	0.983533	0.986333	0.963867	0.992733	0.836267	0.945133	0.926800	0.981933	
1280	0.925600	0.977267	0.986800	0.984333	0.961333	0.993933	0.849733	0.945467	0.933467	0.983867	
1290	0.925733	0.978867	0.988800	0.983600	0.959200	0.994667	0.851200	0.943800	0.940933	0.982867	
1300	0.935400	0.977267	0.992000	0.983400	0.957400	0.994133	0.866333	0.942867	0.954533	0.986467	
1310	0.934533	0.977333	0.992733	0.984867	0.956067	0.994400	0.863733	0.946800	0.966200	0.984000	
1320	0.940267	0.980933	0.994133	0.984467	0.957467	0.995200	0.861000	0.948733	0.969933	0.981800	
1330	0.941400	0.985600	0.991067	0.985867	0.961267	0.994933	0.871667	0.946467	0.977667	0.985333	
1340	0.939000	0.984067	0.994000	0.981800	0.958467	0.993800	0.872267	0.946133	0.977733	0.983400	
1350	0.942000	0.985200	0.996933	0.980933	0.957933	0.992933	0.876600	0.950600	0.977600	0.985400	
1360	0.947800	0.983733	0.997133	0.978667	0.960333	0.993867	0.876067	0.948200	0.980467	0.983467	
1370	0.950800	0.985533	0.997733	0.979533	0.960933	0.993267	0.880000	0.950000	0.986800	0.984600	
