essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.763158,6,0.985045,0.0284655,0.2956305,0.042025,0.3346085,0.0205195,0.9850435,0.039848,0.0128035,0.0137635,0.0314565,0.0136295,0.0017485,0.00643,0.01282,0.018313
0.789474,6,0.982444,0.028629,0.2945205,0.0418975,0.335232,0.021441,0.98244,0.0419305,0.012597,0.0145355,0.0361195,0.011568,0.002169,0.0071655,0.012625,0.0179145
0.815789,6,0.973455,0.0376925,0.2958045,0.0418515,0.3373125,0.0267955,0.973445,0.052048,0.023978,0.020886,0.0342045,0.0143485,0.003568,0.0096985,0.0239895,0.026407
0.842105,6,0.922917,0.054496,0.2924825,0.0378545,0.346149,0.042884,0.922918,0.0827655,0.050413,0.021739,0.0188955,0.014722,0.009303,0.0149825,0.05044,0.0289115
0.868421,6,0.911466,0.060118,0.4633875,0.0374555,0.481316,0.05004,0.9114705,0.0883735,0.073532,0.029984,0.0268755,0.0116335,0.0128725,0.018099,0.073543,0.03833
0.894737,6,0.982097,0.030355,0.489174,0.0432685,0.497122,0.023633,0.982102,0.042874,0.0147645,0.014964,0.0392955,0.0141805,0.0029925,0.0089675,0.014778,0.0201885
0.921053,6,0.990297,0.0227135,0.5094595,0.0418395,0.499169,0.017344,0.9903005,0.0320465,0.0084775,0.010622,0.043646,0.0128795,0.001728,0.0063615,0.00849,0.0139565
0.947368,6,0.993187,0.0197035,0.5073665,0.0427445,0.499705,0.015308,0.9931895,0.027707,0.0046965,0.009232,0.045494,0.0136825,0.0012355,0.0049555,0.004714,0.011177
0.973684,6,0.9918515,0.0195175,0.5045565,0.0436215,0.499729,0.0152245,0.9918485,0.0289075,0.005643,0.007933,0.0266055,0.0141435,0.0010385,0.004705,0.005664,0.01052
1,6,0.992332,0.019352,0.5082585,0.0472235,0.500075,0.014894,0.992329,0.028206,0.0057465,0.0075325,0.0454685,0.0173525,0.001127,0.0047775,0.0057735,0.010583
0.5,8,0.0012465,0.0084015,0.0025925,0.0115315,0.004934,0.0290425,0.001247,0.010188,0.0009795,0.0046435,0.0021985,0.0055875,0.0029415,0.0093625,0.0009935,0.005356
0.526316,8,0.0018335,0.0097575,0.0042,0.0138625,0.007761,0.035728,0.001831,0.0120725,0.0014525,0.005178,0.00369,0.0064125,0.0047095,0.0113295,0.001461,0.0060635
0.552632,8,0.003032,0.010427,0.0220945,0.0215495,0.029298,0.0638315,0.003031,0.013966,0.002982,0.005519,0.01606,0.007823,0.0164505,0.0169435,0.002991,0.0070105
0.578947,8,0.015274,0.012956,0.0531555,0.0241245,0.089919,0.103237,0.0152805,0.02444,0.010088,0.005979,0.025296,0.008918,0.0152995,0.007503,0.0101035,0.0091525
0.605263,8,0.0786505,0.0258485,0.0090965,0.014868,0.148452,0.115823,0.0786655,0.056857,0.0185215,0.009609,0.0123005,0.0098285,0.015854,0.0037715,0.0185815,0.007881
0.631579,8,0.116104,0.026949,0.0143215,0.013418,0.1953425,0.122266,0.1160875,0.0652315,0.0353375,0.0108625,0.0228845,0.009483,0.016316,0.003845,0.0353695,0.012456
0.657895,8,0.1819375,0.0437045,0.001025,0.0085895,0.228488,0.1208675,0.1819445,0.0855775,0.0270385,0.019609,0.0009785,0.0053285,0.011202,0.0025465,0.0271035,0.012834
0.684211,8,0.4589045,0.0582125,0.0564115,0.0151235,0.26007,0.0957785,0.458877,0.1003095,0.26646,0.029756,0.0888545,0.011114,0.010484,0.0346685,0.2664875,0.025782
0.710526,8,0.3786655,0.048261,0.0699905,0.0226795,0.2789025,0.105346,0.3786645,0.0919705,0.266671,0.023929,0.091363,0.0140805,0.0194245,0.031019,0.2666705,0.0215795
0.736842,8,0.4419525,0.0418165,0.147812,0.029013,0.331575,0.095508,0.4419485,0.091489,0.259466,0.0218645,0.091971,0.0125945,0.009659,0.0281055,0.2594645,0.0192665
0.763158,8,0.8209855,0.067273,0.2963285,0.026238,0.3643545,0.0485885,0.8209915,0.096853,0.09533,0.0296935,0.0295975,0.0102385,0.0103685,0.01432,0.0953285,0.0270845
0.789474,8,0.8962715,0.0544115,0.3340255,0.023812,0.374152,0.0334635,0.8962765,0.0720165,0.1114195,0.03815,0.028627,0.008855,0.004317,0.017062,0.11143,0.043601
0.815789,8,0.704341,0.0727285,0.312091,0.0271745,0.3809225,0.059032,0.704337,0.1120985,0.1273835,0.0421255,0.028097,0.0095735,0.0058585,0.0134865,0.127398,0.032469
0.842105,8,0.8181645,0.075756,0.346186,0.026045,0.3922475,0.0494795,0.818174,0.1014355,0.1221425,0.027798,0.026313,0.0094335,0.0106225,0.015685,0.122138,0.0286265
0.868421,8,0.703128,0.065903,0.3793785,0.0298045,0.4177845,0.0639295,0.7031495,0.10878,0.0727725,0.0271295,0.023981,0.010797,0.013241,0.006495,0.0728035,0.016767
0.894737,8,0.5739795,0.068656,0.444967,0.0388545,0.4532455,0.072714,0.573957,0.1166285,0.0608615,0.026098,0.0329135,0.01363,0.006952,0.004311,0.060866,0.0150885
0.921053,8,0.638717,0.0751115,0.453262,0.0281855,0.4613625,0.0674145,0.6387085,0.1180225,0.083989,0.028091,0.021014,0.008401,0.005922,0.006063,0.084005,0.017258
0.947368,8,0.968363,0.043055,0.4927005,0.032215,0.4972155,0.0222135,0.968353,0.0518665,0.024276,0.021898,0.0248925,0.0118415,0.0037335,0.0078495,0.024301,0.0235395
0.973684,8,0.9795995,0.02996,0.4897315,0.030676,0.4983975,0.0182555,0.9796055,0.0381855,0.01611,0.01359,0.0297055,0.0111395,0.0022335,0.0066675,0.0161195,0.016773
1,8,0.983527,0.0280935,0.5034475,0.0264695,0.5001115,0.016703,0.9835345,0.0357235,0.0112315,0.012509,0.0371545,0.009365,0.002036,0.0050645,0.0112355,0.0140085
0.5,10,0.00107,0.00742,0.003315,0.012132,0.005751,0.029011,0.001069,0.008468,0.001003,0.004703,0.003091,0.006576,0.004132,0.010909,0.001011,0.005207
0.526316,10,0.001575,0.008748,0.008072,0.017614,0.011762,0.040088,0.001578,0.010073,0.001577,0.005503,0.007746,0.008813,0.008582,0.014045,0.001589,0.00618
0.552632,10,0.003569,0.008896,0.037195,0.024652,0.047623,0.072721,0.003568,0.011622,0.004168,0.005723,0.022263,0.009195,0.019246,0.013861,0.004175,0.007347
0.578947,10,0.018757,0.011628,0.046316,0.022985,0.097081,0.095754,0.01875,0.020896,0.018786,0.006651,0.03956,0.013187,0.015954,0.006405,0.018791,0.012381
0.605263,10,0.045798,0.016283,0.038698,0.017453,0.145713,0.10637,0.045798,0.033211,0.030949,0.010994,0.053736,0.011627,0.01573,0.00494,0.030964,0.016429
0.631579,10,0.094813,0.024347,0.001897,0.010233,0.189049,0.108677,0.094819,0.050809,0.012971,0.013064,0.002633,0.007481,0.013239,0.00362,0.013037,0.008391
0.657895,10,0.140446,0.034251,0.00118,0.008935,0.227751,0.109103,0.140472,0.063164,0.015771,0.017102,0.001216,0.006083,0.008611,0.003073,0.01586,0.011289
0.684211,10,0.152098,0.032038,0.018569,0.0156,0.252473,0.111772,0.152107,0.061808,0.064361,0.018822,0.030169,0.01365,0.010288,0.007607,0.06439,0.017837
0.710526,10,0.142075,0.025961,0.02775,0.018699,0.281622,0.114424,0.14207,0.057072,0.077846,0.017635,0.035575,0.011716,0.022318,0.007654,0.077858,0.017612
0.736842,10,0.302861,0.031793,0.118524,0.033332,0.333721,0.093717,0.302851,0.068834,0.211964,0.020197,0.083456,0.021491,0.013353,0.024023,0.211973,0.021572
0.763158,10,0.341767,0.042192,0.146144,0.037983,0.357262,0.086932,0.341782,0.07854,0.185723,0.023318,0.087349,0.018328,0.013455,0.020561,0.185745,0.021129
0.789474,10,0.355905,0.047754,0.211217,0.037825,0.381264,0.082455,0.355924,0.085009,0.138736,0.022816,0.108162,0.017393,0.013062,0.0164,0.138758,0.016197
0.815789,10,0.370891,0.043535,0.256285,0.034946,0.396982,0.078142,0.370896,0.084384,0.090189,0.021931,0.101339,0.0173,0.007679,0.010428,0.090231,0.014792
0.842105,10,0.33494,0.049312,0.230188,0.043533,0.407692,0.08173,0.334938,0.086291,0.058491,0.017753,0.095425,0.021465,0.008723,0.006827,0.058531,0.011271
0.868421,10,0.279556,0.038962,0.241182,0.061391,0.432424,0.085691,0.279562,0.077917,0.047458,0.016249,0.143377,0.039126,0.01489,0.006461,0.047484,0.009897
0.894737,10,0.351211,0.059184,0.389528,0.042134,0.449974,0.076973,0.351219,0.093675,0.070839,0.028531,0.07331,0.020234,0.007644,0.007831,0.070855,0.020014
0.921053,10,0.363306,0.057285,0.41998,0.034374,0.454454,0.07501,0.363275,0.092984,0.051178,0.023946,0.040202,0.013241,0.004524,0.004797,0.051217,0.015405
0.947368,10,0.395297,0.057863,0.436059,0.034617,0.456563,0.072359,0.3953,0.093931,0.066384,0.024895,0.041577,0.015579,0.004175,0.005876,0.066397,0.016752
0.973684,10,0.484228,0.05808,0.446213,0.030063,0.46184,0.066224,0.484219,0.095684,0.064689,0.026044,0.026401,0.011723,0.004878,0.00524,0.064724,0.016114
1,10,0.475401,0.059285,0.531961,0.044342,0.514683,0.071042,0.475403,0.095806,0.0841,0.023662,0.039846,0.019326,0.024345,0.0079,0.084082,0.015331
0.5,12,0.000811,0.006547,0.002662,0.011479,0.00466,0.025913,0.000811,0.007095,0.000852,0.004967,0.002676,0.007358,0.003479,0.010847,0.000861,0.005321
0.526316,12,0.00119,0.007315,0.011234,0.017569,0.014503,0.040735,0.001191,0.008084,0.00131,0.00526,0.011688,0.009309,0.01152,0.014777,0.001319,0.005701
0.552632,12,0.004223,0.00717,0.048946,0.022169,0.062263,0.074753,0.004221,0.009291,0.008035,0.005225,0.028282,0.010667,0.02013,0.010308,0.008031,0.007503
0.578947,12,0.005269,0.00796,0.086193,0.023657,0.103974,0.091881,0.005267,0.01057,0.009649,0.005714,0.034673,0.010012,0.017912,0.007523,0.00965,0.008094
0.605263,12,0.016057,0.009583,0.105151,0.020318,0.151308,0.103782,0.01606,0.015282,0.025275,0.00769,0.063309,0.010089,0.011043,0.005329,0.025279,0.012838
0.631579,12,0.058002,0.016912,0.035957,0.017955,0.186406,0.103421,0.057995,0.032697,0.028931,0.010536,0.061799,0.015275,0.01617,0.007344,0.028937,0.012198
0.657895,12,0.063073,0.017341,0.079329,0.019218,0.229172,0.109552,0.063071,0.032406,0.049615,0.01294,0.087609,0.013375,0.015392,0.009891,0.049627,0.017276
0.684211,12,0.107111,0.021157,0.032257,0.0167,0.256707,0.104703,0.107113,0.043171,0.049101,0.012725,0.050033,0.013113,0.019549,0.007611,0.04913,0.012718
0.710526,12,0.085086,0.017649,0.074065,0.028005,0.287261,0.109373,0.085088,0.038149,0.054026,0.012587,0.05968,0.017177,0.021594,0.007264,0.05404,0.012492
0.736842,12,0.076927,0.014893,0.073725,0.029779,0.32768,0.108366,0.076926,0.036575,0.015296,0.008647,0.047456,0.014353,0.015506,0.004889,0.015337,0.005745
0.763158,12,0.089097,0.020834,0.078573,0.02995,0.349798,0.105389,0.089092,0.042141,0.01295,0.014549,0.049098,0.014681,0.014752,0.004309,0.01299,0.009483
0.789474,12,0.125245,0.025145,0.080182,0.03641,0.380968,0.097667,0.125249,0.048604,0.047532,0.016906,0.062393,0.021588,0.012239,0.007565,0.047568,0.013053
0.815789,12,0.186368,0.033422,0.101985,0.030469,0.401593,0.08707,0.186357,0.058749,0.082004,0.018763,0.095872,0.016992,0.010485,0.010525,0.082012,0.014232
0.842105,12,0.165374,0.033064,0.097164,0.050461,0.416457,0.088094,0.165374,0.05738,0.024163,0.014654,0.058242,0.029455,0.008116,0.004511,0.024224,0.009136
0.868421,12,0.184358,0.03373,0.17056,0.054965,0.427384,0.084837,0.184349,0.059745,0.021807,0.017734,0.10097,0.03171,0.009244,0.003298,0.021869,0.011526
0.894737,12,0.197031,0.030634,0.308799,0.044174,0.444874,0.082125,0.197011,0.058654,0.046696,0.017434,0.127057,0.022245,0.01409,0.007059,0.046711,0.012227
0.921053,12,0.241319,0.046125,0.408519,0.036818,0.455581,0.07611,0.241338,0.071224,0.041198,0.021875,0.033913,0.019639,0.004315,0.005235,0.041226,0.015603
0.947368,12,0.252411,0.042061,0.414387,0.035016,0.456289,0.074488,0.252406,0.069306,0.030141,0.019179,0.029019,0.016914,0.003993,0.003978,0.030195,0.012241
0.973684,12,0.238122,0.047963,0.440193,0.038864,0.461499,0.077527,0.238109,0.07241,0.047771,0.021966,0.041291,0.015364,0.007104,0.006267,0.047822,0.015326
1,12,0.213956,0.039437,0.529156,0.050499,0.513825,0.083807,0.213966,0.065269,0.052283,0.021541,0.037208,0.020419,0.022042,0.0069,0.052312,0.015387
0.5,14,0.000751,0.005948,0.00337,0.012344,0.005464,0.026734,0.000751,0.006352,0.000837,0.005002,0.003436,0.00831,0.004041,0.011232,0.000843,0.005236
0.526316,14,0.000939,0.006036,0.010605,0.017273,0.013796,0.038243,0.000939,0.006608,0.001006,0.004968,0.010205,0.010092,0.010726,0.014302,0.001011,0.005206
0.552632,14,0.001306,0.005967,0.053157,0.024523,0.058316,0.06886,0.001307,0.006736,0.001969,0.005421,0.027573,0.011162,0.024376,0.013503,0.001974,0.005802
0.578947,14,0.000877,0.00556,0.107686,0.024122,0.110524,0.08854,0.000877,0.006077,0.001094,0.004505,0.015638,0.011305,0.015489,0.006311,0.001099,0.004821
0.605263,14,0.019257,0.009498,0.090977,0.017602,0.155215,0.096239,0.019258,0.015163,0.022492,0.007524,0.078234,0.01133,0.01498,0.007575,0.022498,0.011352
