T	s_1	s_2	s_3	s_4	s_5	s_6	s_7	s_8	s_9	s_10
1840	0.994508	0.993601	0.995033	0.988486	0.970649	0.994715	0.98812	0.967023	0.995741	0.98148
1850	0.996167	0.993697	0.993992	0.987178	0.971647	0.994877	0.989025	0.968043	0.994235	0.97997
1860	0.995389	0.991233	0.993444	0.98744	0.967606	0.991625	0.990803	0.967783	0.992614	0.978381
1870	0.996617	0.990205	0.994488	0.988313	0.965954	0.992225	0.992264	0.969864	0.992669	0.980828
1880	0.99668	0.990788	0.996647	0.986234	0.966535	0.992731	0.992929	0.970318	0.991426	0.980413
1890	0.995641	0.993028	0.997416	0.988845	0.966126	0.99299	0.992675	0.973054	0.991979	0.979696
1900	0.997098	0.992647	0.996114	0.987306	0.966757	0.994035	0.993349	0.975104	0.992415	0.978885
1910	0.995406	0.991953	0.995509	0.989798	0.967992	0.994588	0.990051	0.977714	0.991405	0.980359
1920	0.996351	0.99126	0.995676	0.988561	0.967981	0.993961	0.9899	0.975057	0.993378	0.98165
1930	0.997105	0.990301	0.995138	0.989352	0.96704	0.994602	0.990678	0.974381	0.995852	0.9815
1940	0.997061	0.992175	0.993339	0.988898	0.965753	0.993487	0.993247	0.972515	0.995662	0.982599
1950	0.996503	0.989438	0.994408	0.989189	0.963873	0.995	0.994471	0.973236	0.997369	0.983656
1960	0.994586	0.986067	0.992552	0.990826	0.966178	0.995077	0.994872	0.978651	0.995873	0.984034
1970	0.992858	0.987814	0.994594	0.989076	0.965481	0.9943	0.995873	0.978885	0.995284	0.985462
1980	0.994233	0.990626	0.99454	0.988821	0.968019	0.994412	0.995105	0.978112	0.995756	0.986585
1990	0.994794	0.989823	0.994705	0.990565	0.971175	0.995403	0.996219	0.979603	0.996791	0.987751
2000	0.994318	0.992145	0.994137	0.989056	0.969376	0.993753	0.995902	0.978955	0.995347	0.987907
2010	0.99502	0.992346	0.994778	0.989229	0.969155	0.993536	0.997843	0.97659	0.997945	0.988679
2020	0.993659	0.99373	0.996063	0.990157	0.969937	0.993134	0.998166	0.974847	0.99618	0.987875
2030	0.996301	0.993769	0.995741	0.991016	0.968805	0.992688	0.998249	0.975192	0.99762	0.989072
2040	0.99574	0.995364	0.994817	0.990979	0.970059	0.991949	0.998805	0.975085	0.997746	0.988602
2050	0.994941	0.994298	0.996616	0.991639	0.971644	0.991167	0.998354	0.977105	0.995399	0.989099
2060	0.995185	0.996015	0.99649	0.989595	0.9722	0.989451	0.997716	0.976761	0.994352	0.990165
2070	0.996673	0.994264	0.996805	0.989922	0.972879	0.987099	0.996687	0.977188	0.994529	0.990624
2080	0.995755	0.99281	0.996512	0.989783	0.972903	0.986968	0.997101	0.981507	0.99567	0.989894
2090	0.993973	0.993671	0.99694	0.993159	0.972003	0.986652	0.995865	0.981067	0.995295	0.990133
2100	0.993722	0.994145	0.996839	0.992676	0.970113	0.983809	0.996111	0.978845	0.996763	0.98826
2110	0.993707	0.993602	0.995165	0.9926	0.969351	0.984115	0.99543	0.978974	0.996131	0.986816
2120	0.993457	0.993929	0.995463	0.992277	0.967069	0.986684	0.99519	0.981258	0.996922	0.988269
2130	0.995426	0.99282	0.996457	0.993572	0.966261	0.987666	0.995417	0.979181	0.997409	0.988192
2140	0.995014	0.992407	0.996162	0.99391	0.96809	0.985987	0.994648	0.975689	0.996612	0.987805
2150	0.993107	0.991068	0.995842	0.994953	0.968817	0.986182	0.994991	0.973996	0.997135	0.98835
2160	0.994121	0.992212	0.996543	0.994426	0.970069	0.987114	0.995292	0.973904	0.997848	0.988792
2170	0.993295	0.993396	0.99823	0.9939	0.976587	0.98731	0.994703	0.974659	0.997871	0.987679
2180	0.993273	0.992706	0.999098	0.993794	0.97896	0.987312	0.99556	0.972546	0.99659	0.987405
2190	0.992633	0.992989	0.998241	0.994092	0.977818	0.989321	0.995883	0.976291	0.996813	0.988078
2200	0.995289	0.991607	0.997178	0.991444	0.977879	0.988745	0.995257	0.97734	0.998541	0.989114
2210	0.994332	0.989651	0.999066	0.991256	0.978717	0.990549	0.994974	0.976249	0.998801	0.988868
2220	0.992612	0.99028	0.998601	0.991101	0.97915	0.991305	0.99646	0.974616	0.99881	0.989071
2230	0.992427	0.989549	0.99867	0.992576	0.982139	0.991268	0.995295	0.974274	0.998652	0.987156
2240	0.994382	0.990345	0.998466	0.99186	0.982652	0.990971	0.995183	0.975451	0.997401	0.9867
2250	0.995911	0.991861	0.999016	0.992363	0.984456	0.988604	0.993246	0.977652	0.997681	0.98584
2260	0.996497	0.991993	0.998589	0.99162	0.98414	0.988205	0.99076	0.978196	0.998667	0.982848
2270	0.996394	0.990869	0.9979	0.991694	0.982403	0.991346	0.992085	0.977269	0.998221	0.984957
2280	0.994945	0.990957	0.998831	0.990461	0.982428	0.99296	0.989963	0.977477	0.99888	0.986641
2290	0.995802	0.992072	0.998844	0.990505	0.983436	0.992906	0.984753	0.981076	0.99911	0.987095
2300	0.995703	0.993307	0.999103	0.989411	0.984881	0.994001	0.984655	0.982893	0.999498	0.98845
2310	0.995943	0.994077	0.999545	0.988618	0.985251	0.994514	0.984271	0.985342	0.999033	0.988606
2320	0.99553	0.993964	0.999567	0.988739	0.987441	0.993128	0.986827	0.984961	0.999085	0.987691
2330	0.996346	0.995326	0.999373	0.987952	0.987805	0.993381	0.989269	0.985592	0.998637	0.988542
2340	0.996009	0.994203	0.998434	0.988713	0.988888	0.993884	0.989121	0.988446	0.998109	0.987861
2350	0.995548	0.994376	0.999302	0.989212	0.986924	0.99364	0.991313	0.987849	0.998085	0.98692
2360	0.995149	0.99631	0.9993	0.990428	0.987961	0.994819	0.993973	0.985651	0.996209	0.987466
2370	0.995491	0.99572	0.99952	0.991339	0.98785	0.99478	0.994883	0.985452	0.99584	0.986881
2380	0.996013	0.994941	0.9991	0.989545	0.988389	0.995547	0.996669	0.986446	0.993813	0.986119
2390	0.995963	0.996424	0.999067	0.989368	0.988276	0.996351	0.997882	0.98692	0.994119	0.98583
2400	0.996239	0.99655	0.998613	0.990762	0.990902	0.997846	0.998501	0.988554	0.993696	0.986073
2410	0.99594	0.995043	0.998234	0.989364	0.990828	0.997785	0.998864	0.987523	0.993232	0.985762
2420	0.995207	0.994568	0.997429	0.990667	0.989402	0.997043	0.998895	0.989467	0.994258	0.986604
2430	0.99606	0.993918	0.998321	0.991499	0.991416	0.996705	0.998721	0.990741	0.993245	0.986274
2440	0.995739	0.993968	0.998817	0.990929	0.99102	0.99622	0.998315	0.991367	0.994587	0.986328
2450	0.997214	0.995792	0.998063	0.990974	0.989759	0.99701	0.997387	0.991827	0.991603	0.986122
2460	0.996813	0.996034	0.997027	0.990181	0.990083	0.998033	0.996299	0.990305	0.993164	0.986537
2470	0.997151	0.995739	0.996127	0.991227	0.989723	0.998052	0.99716	0.990238	0.995373	0.987386
2480	0.996915	0.99569	0.995682	0.99001	0.990257	0.998931	0.997562	0.992836	0.99583	0.986104
2490	0.996379	0.995157	0.995676	0.987624	0.990118	0.998898	0.998571	0.993329	0.995899	0.985618
2500	0.995744	0.996265	0.994932	0.986475	0.990245	0.998825	0.998202	0.99249	0.996963	0.985956
2510	0.995293	0.995349	0.99507	0.986959	0.9908	0.998436	0.998657	0.992067	0.998053	0.983798
2520	0.994892	0.995762	0.995084	0.987797	0.989309	0.998531	0.998433	0.992978	0.998435	0.984903
2530	0.995761	0.995717	0.994093	0.989487	0.988923	0.997665	0.99721	0.993236	0.997552	0.985494
2540	0.995542	0.995771	0.995025	0.989464	0.989776	0.998489	0.99773	0.993697	0.997258	0.983951
2550	0.995378	0.99681	0.994676	0.989525	0.988343	0.99653	0.997389	0.993893	0.998124	0.983556
2560	0.993575	0.997436	0.99188	0.990028	0.986645	0.996502	0.99867	0.993092	0.998757	0.98522
2570	0.994834	0.996948	0.991871	0.991059	0.986877	0.998973	0.998302	0.994199	0.996772	0.984486
2580	0.996256	0.997192	0.990953	0.991229	0.988249	0.999344	0.998249	0.993667	0.995245	0.983879
2590	0.996598	0.996858	0.989647	0.992591	0.989124	0.998559	0.999121	0.992555	0.994706	0.983217
2600	0.995761	0.996493	0.991334	0.992581	0.991214	0.998438	0.997824	0.993892	0.994849	0.982714
2610	0.993644	0.995856	0.9915	0.992271	0.99051	0.999298	0.997654	0.993266	0.995719	0.984978
2620	0.991934	0.995792	0.991262	0.994319	0.991778	0.999495	0.997428	0.993828	0.996139	0.985534
2630	0.990779	0.996231	0.994202	0.993642	0.991729	0.998865	0.997185	0.995437	0.994314	0.985872
