essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.5,6,0.0012725,0.009118,0.0022005,0.0114435,0.0040005,0.0287895,0.001272,0.012152,0.000939,0.004407,0.0016315,0.0049645,0.0021425,0.0083205,0.000957,0.0056305
0.526316,6,0.002099,0.0110235,0.003123,0.012878,0.006179,0.0353295,0.0020985,0.015237,0.0014835,0.004939,0.0022425,0.005505,0.003244,0.0096725,0.001505,0.0063995
0.552632,6,0.005688,0.01482,0.0096265,0.019595,0.018516,0.058837,0.0056935,0.0230095,0.0047905,0.006077,0.0072625,0.006928,0.008987,0.0132195,0.0048145,0.00943
0.578947,6,0.0422205,0.0229935,0.0173675,0.0183165,0.0806285,0.1104505,0.0422075,0.0534615,0.0243055,0.009001,0.028274,0.009424,0.0130765,0.006854,0.0243345,0.021051
0.605263,6,0.102054,0.0302445,0.0019275,0.011714,0.1370175,0.1294595,0.1020455,0.083714,0.0108185,0.009687,0.001604,0.005486,0.0107225,0.00374,0.010971,0.0058675
0.631579,6,0.253869,0.036752,0.010334,0.0137755,0.1913305,0.127231,0.253863,0.0966835,0.197978,0.016096,0.020774,0.0118275,0.013045,0.026228,0.198029,0.0228235
0.657895,6,0.9780075,0.033913,0.1060375,0.048757,0.188163,0.0538,0.978008,0.0482055,0.016794,0.0126635,0.042806,0.0139335,0.014076,0.016212,0.0168125,0.01823
0.684211,6,0.979573,0.0314645,0.28954,0.0414095,0.330528,0.0264395,0.979574,0.043803,0.0218985,0.0175315,0.046869,0.0136375,0.0043825,0.0117125,0.021909,0.0248465
0.710526,6,0.9678885,0.032171,0.261867,0.034468,0.3314245,0.025612,0.9678755,0.05295,0.022024,0.0121265,0.0408705,0.0100865,0.002641,0.007722,0.022048,0.0185085
0.736842,6,0.985822,0.028862,0.295199,0.035353,0.333874,0.020824,0.9858165,0.039821,0.011334,0.013694,0.051675,0.0129065,0.0022175,0.0063435,0.011351,0.017441
